Begin Date,Begin Time,End Date,End Time,Alarm Tag,Alarm Id,Alarm Type,Alarm Priority,Description
12/3/2016,20:00:01,12/3/2016,20:01:51,AlarmRateRamp|1000,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:16:58,12/3/2016,20:17:59,AlarmRateRamp|1067,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:17:12,12/3/2016,20:17:59,AlarmRateRamp|1068,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:17:25,12/3/2016,20:17:59,AlarmRateRamp|1069,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:17:38,12/3/2016,20:17:59,AlarmRateRamp|1070,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:17:52,12/3/2016,20:17:59,AlarmRateRamp|1071,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:18:01,12/3/2016,20:19:12,AlarmRateRamp|1072,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:18:13,12/3/2016,20:19:12,AlarmRateRamp|1073,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:18:26,12/3/2016,20:19:12,AlarmRateRamp|1074,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:18:39,12/3/2016,20:19:12,AlarmRateRamp|1075,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:18:52,12/3/2016,20:19:12,AlarmRateRamp|1076,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:19:05,12/3/2016,20:19:12,AlarmRateRamp|1077,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:19:14,12/3/2016,20:20:23,AlarmRateRamp|1078,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:19:25,12/3/2016,20:20:23,AlarmRateRamp|1079,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:19:38,12/3/2016,20:20:23,AlarmRateRamp|1080,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:19:51,12/3/2016,20:20:23,AlarmRateRamp|1081,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:20:04,12/3/2016,20:20:23,AlarmRateRamp|1082,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:20:17,12/3/2016,20:20:23,AlarmRateRamp|1083,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:20:25,12/3/2016,20:21:33,AlarmRateRamp|1084,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:20:36,12/3/2016,20:21:33,AlarmRateRamp|1085,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:20:49,12/3/2016,20:21:33,AlarmRateRamp|1086,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:21:01,12/3/2016,20:21:33,AlarmRateRamp|1087,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:21:14,12/3/2016,20:21:33,AlarmRateRamp|1088,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:21:26,12/3/2016,20:21:33,AlarmRateRamp|1089,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:21:35,12/3/2016,20:22:41,AlarmRateRamp|1090,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:21:46,12/3/2016,20:22:41,AlarmRateRamp|1091,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:21:58,12/3/2016,20:22:41,AlarmRateRamp|1092,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:22:10,12/3/2016,20:22:41,AlarmRateRamp|1093,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:22:23,12/3/2016,20:22:41,AlarmRateRamp|1094,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:22:35,12/3/2016,20:22:41,AlarmRateRamp|1095,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:22:43,12/3/2016,20:23:48,AlarmRateRamp|1096,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:22:54,12/3/2016,20:23:48,AlarmRateRamp|1097,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:23:06,12/3/2016,20:23:48,AlarmRateRamp|1098,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:23:18,12/3/2016,20:23:48,AlarmRateRamp|1099,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:23:30,12/3/2016,20:23:48,AlarmRateRamp|1100,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:23:42,12/3/2016,20:23:48,AlarmRateRamp|1101,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:23:50,12/3/2016,20:24:54,AlarmRateRamp|1102,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:24:00,12/3/2016,20:24:54,AlarmRateRamp|1103,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:24:12,12/3/2016,20:24:54,AlarmRateRamp|1104,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:24:24,12/3/2016,20:24:54,AlarmRateRamp|1105,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:24:36,12/3/2016,20:24:54,AlarmRateRamp|1106,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:24:47,12/3/2016,20:24:54,AlarmRateRamp|1107,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:24:56,12/3/2016,20:25:58,AlarmRateRamp|1108,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:25:06,12/3/2016,20:25:58,AlarmRateRamp|1109,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:25:18,12/3/2016,20:25:58,AlarmRateRamp|1110,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:25:29,12/3/2016,20:25:58,AlarmRateRamp|1111,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:25:41,12/3/2016,20:25:58,AlarmRateRamp|1112,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:25:52,12/3/2016,20:25:58,AlarmRateRamp|1113,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:26:00,12/3/2016,20:27:01,AlarmRateRamp|1114,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:26:10,12/3/2016,20:27:01,AlarmRateRamp|1115,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:26:21,12/3/2016,20:27:01,AlarmRateRamp|1116,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:26:33,12/3/2016,20:27:01,AlarmRateRamp|1117,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:26:44,12/3/2016,20:27:01,AlarmRateRamp|1118,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:26:55,12/3/2016,20:27:01,AlarmRateRamp|1119,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:27:03,12/3/2016,20:28:03,AlarmRateRamp|1120,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:27:13,12/3/2016,20:28:03,AlarmRateRamp|1121,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:27:24,12/3/2016,20:28:03,AlarmRateRamp|1122,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:27:35,12/3/2016,20:28:03,AlarmRateRamp|1123,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:27:46,12/3/2016,20:28:03,AlarmRateRamp|1124,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:27:57,12/3/2016,20:28:03,AlarmRateRamp|1125,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:28:05,12/3/2016,20:29:04,AlarmRateRamp|1126,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:28:15,12/3/2016,20:29:04,AlarmRateRamp|1127,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:28:26,12/3/2016,20:29:04,AlarmRateRamp|1128,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:28:36,12/3/2016,20:29:04,AlarmRateRamp|1129,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:28:47,12/3/2016,20:29:04,AlarmRateRamp|1130,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:28:58,12/3/2016,20:29:04,AlarmRateRamp|1131,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:29:05,12/3/2016,20:30:04,AlarmRateRamp|1132,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:29:15,12/3/2016,20:30:04,AlarmRateRamp|1133,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:29:26,12/3/2016,20:30:04,AlarmRateRamp|1134,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:29:37,12/3/2016,20:30:04,AlarmRateRamp|1135,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:29:48,12/3/2016,20:30:04,AlarmRateRamp|1136,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:29:58,12/3/2016,20:30:04,AlarmRateRamp|1137,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:30:05,12/3/2016,20:31:03,AlarmRateRamp|1138,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:30:15,12/3/2016,20:31:03,AlarmRateRamp|1139,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:30:26,12/3/2016,20:31:03,AlarmRateRamp|1140,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:30:36,12/3/2016,20:31:03,AlarmRateRamp|1141,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:30:47,12/3/2016,20:31:03,AlarmRateRamp|1142,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:30:58,12/3/2016,20:31:03,AlarmRateRamp|1143,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:31:04,12/3/2016,20:32:01,AlarmRateRamp|1144,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:31:14,12/3/2016,20:32:01,AlarmRateRamp|1145,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:31:24,12/3/2016,20:32:01,AlarmRateRamp|1146,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:31:35,12/3/2016,20:32:01,AlarmRateRamp|1147,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:31:45,12/3/2016,20:32:01,AlarmRateRamp|1148,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:31:56,12/3/2016,20:32:01,AlarmRateRamp|1149,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:32:02,12/3/2016,20:32:59,AlarmRateRamp|1150,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:32:12,12/3/2016,20:32:59,AlarmRateRamp|1151,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:32:22,12/3/2016,20:32:59,AlarmRateRamp|1152,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:32:32,12/3/2016,20:32:59,AlarmRateRamp|1153,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:32:43,12/3/2016,20:32:59,AlarmRateRamp|1154,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:32:53,12/3/2016,20:32:59,AlarmRateRamp|1155,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:33:00,12/3/2016,20:33:56,AlarmRateRamp|1156,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:33:10,12/3/2016,20:33:56,AlarmRateRamp|1157,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:33:20,12/3/2016,20:33:56,AlarmRateRamp|1158,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:33:30,12/3/2016,20:33:56,AlarmRateRamp|1159,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:33:40,12/3/2016,20:33:56,AlarmRateRamp|1160,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:33:50,12/3/2016,20:33:56,AlarmRateRamp|1161,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:33:57,12/3/2016,20:34:52,AlarmRateRamp|1162,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:34:07,12/3/2016,20:34:52,AlarmRateRamp|1163,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:34:17,12/3/2016,20:34:52,AlarmRateRamp|1164,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:34:27,12/3/2016,20:34:52,AlarmRateRamp|1165,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:34:37,12/3/2016,20:34:52,AlarmRateRamp|1166,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:34:46,12/3/2016,20:34:52,AlarmRateRamp|1167,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:34:53,12/3/2016,20:35:47,AlarmRateRamp|1168,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:35:02,12/3/2016,20:35:47,AlarmRateRamp|1169,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:35:12,12/3/2016,20:35:47,AlarmRateRamp|1170,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:35:22,12/3/2016,20:35:47,AlarmRateRamp|1171,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:35:32,12/3/2016,20:35:47,AlarmRateRamp|1172,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:35:42,12/3/2016,20:35:47,AlarmRateRamp|1173,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:35:48,12/3/2016,20:36:41,AlarmRateRamp|1174,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:35:57,12/3/2016,20:36:41,AlarmRateRamp|1175,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:36:07,12/3/2016,20:36:41,AlarmRateRamp|1176,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:36:17,12/3/2016,20:36:41,AlarmRateRamp|1177,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:36:26,12/3/2016,20:36:41,AlarmRateRamp|1178,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:36:36,12/3/2016,20:36:41,AlarmRateRamp|1179,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:36:42,12/3/2016,20:37:35,AlarmRateRamp|1180,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:36:51,12/3/2016,20:37:35,AlarmRateRamp|1181,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:37:01,12/3/2016,20:37:35,AlarmRateRamp|1182,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:37:10,12/3/2016,20:37:35,AlarmRateRamp|1183,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:37:20,12/3/2016,20:37:35,AlarmRateRamp|1184,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:37:29,12/3/2016,20:37:35,AlarmRateRamp|1185,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:37:36,12/3/2016,20:38:28,AlarmRateRamp|1186,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:37:45,12/3/2016,20:38:28,AlarmRateRamp|1187,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:37:55,12/3/2016,20:38:28,AlarmRateRamp|1188,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:38:04,12/3/2016,20:38:28,AlarmRateRamp|1189,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:38:13,12/3/2016,20:38:28,AlarmRateRamp|1190,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:38:23,12/3/2016,20:38:28,AlarmRateRamp|1191,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:38:29,12/3/2016,20:39:20,AlarmRateRamp|1192,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:38:38,12/3/2016,20:39:20,AlarmRateRamp|1193,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:38:47,12/3/2016,20:39:20,AlarmRateRamp|1194,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:38:57,12/3/2016,20:39:20,AlarmRateRamp|1195,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:39:06,12/3/2016,20:39:20,AlarmRateRamp|1196,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:39:15,12/3/2016,20:39:20,AlarmRateRamp|1197,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:39:21,12/3/2016,20:40:12,AlarmRateRamp|1198,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:39:30,12/3/2016,20:40:12,AlarmRateRamp|1199,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:39:39,12/3/2016,20:40:12,AlarmRateRamp|1200,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:39:48,12/3/2016,20:40:12,AlarmRateRamp|1201,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:39:57,12/3/2016,20:40:12,AlarmRateRamp|1202,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:40:07,12/3/2016,20:40:12,AlarmRateRamp|1203,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:40:13,12/3/2016,20:41:03,AlarmRateRamp|1204,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:40:22,12/3/2016,20:41:03,AlarmRateRamp|1205,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:40:31,12/3/2016,20:41:03,AlarmRateRamp|1206,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:40:40,12/3/2016,20:41:03,AlarmRateRamp|1207,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:40:49,12/3/2016,20:41:03,AlarmRateRamp|1208,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:40:58,12/3/2016,20:41:03,AlarmRateRamp|1209,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:41:04,12/3/2016,20:41:54,AlarmRateRamp|1210,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:41:13,12/3/2016,20:41:54,AlarmRateRamp|1211,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:41:22,12/3/2016,20:41:54,AlarmRateRamp|1212,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:41:31,12/3/2016,20:41:54,AlarmRateRamp|1213,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:41:40,12/3/2016,20:41:54,AlarmRateRamp|1214,Q5,I&C ALARM,N/A,Limit Signal 5
